
424 atoms
10 atom types
1 bond types
1 angle types

3 extra bond per atom
2 extra angle per atom
6 extra special per atom

0.0 25.771800 xlo xhi
0.0 25.771800 ylo yhi
0.0 25.771800 zlo zhi

Masses

1 1e-15    # H_com
2 1.008000 # H_H2
3 1.007940 # H H1
4 12.010700 # C C1
5 12.010700 # C C2
6 12.010700 # C C3
7 15.999400 # O O1
8 15.999400 # O O2
9 65.409000 # Zn Zn1
10 79.904000 # Br Br1

Atoms

1 1 9 0.49288200 5.324196 5.324196 5.324196
2 1 9 0.49288200 20.447604 20.447604 5.324196
3 1 9 0.49288200 20.447604 5.324196 20.447604
4 1 9 0.49288200 5.324196 20.447604 20.447604
5 1 9 0.49288200 5.324196 5.324196 20.447604
6 1 9 0.49288200 20.447604 20.447604 20.447604
7 1 9 0.49288200 5.324196 20.447604 5.324196
8 1 9 0.49288200 20.447604 5.324196 5.324196
9 1 9 0.49288200 5.324196 18.210096 18.210096
10 1 9 0.49288200 20.447604 7.561704 18.210096
11 1 9 0.49288200 20.447604 18.210096 7.561704
12 1 9 0.49288200 5.324196 7.561704 7.561704
13 1 9 0.49288200 5.324196 18.210096 7.561704
14 1 9 0.49288200 20.447604 7.561704 7.561704
15 1 9 0.49288200 5.324196 7.561704 18.210096
16 1 9 0.49288200 20.447604 18.210096 18.210096
17 1 9 0.49288200 18.210096 5.324196 18.210096
18 1 9 0.49288200 7.561704 20.447604 18.210096
19 1 9 0.49288200 7.561704 5.324196 7.561704
20 1 9 0.49288200 18.210096 20.447604 7.561704
21 1 9 0.49288200 18.210096 5.324196 7.561704
22 1 9 0.49288200 7.561704 20.447604 7.561704
23 1 9 0.49288200 18.210096 20.447604 18.210096
24 1 9 0.49288200 7.561704 5.324196 18.210096
25 1 9 0.49288200 18.210096 18.210096 5.324196
26 1 9 0.49288200 7.561704 7.561704 5.324196
27 1 9 0.49288200 7.561704 18.210096 20.447604
28 1 9 0.49288200 18.210096 7.561704 20.447604
29 1 9 0.49288200 18.210096 18.210096 20.447604
30 1 9 0.49288200 7.561704 7.561704 20.447604
31 1 9 0.49288200 18.210096 7.561704 5.324196
32 1 9 0.49288200 7.561704 18.210096 5.324196
33 1 3 0.08573370 13.981717 19.991443 8.279964
34 1 3 0.08573370 11.790083 18.666257 4.605936
35 1 3 0.08573370 13.981717 18.666257 4.605936
36 1 3 0.08573370 11.790083 5.780357 8.279964
37 1 3 0.08573370 13.981717 5.780357 8.279964
38 1 3 0.08573370 13.981717 7.105543 4.605936
39 1 3 0.08573370 24.675983 7.105543 8.279964
40 1 3 0.08573370 24.675983 19.991443 4.605936
41 1 3 0.08573370 17.491836 7.105543 1.095817
42 1 3 0.08573370 17.491836 18.666257 1.095817
43 1 3 0.08573370 4.605936 5.780357 1.095817
44 1 3 0.08573370 4.605936 19.991443 1.095817
45 1 3 0.08573370 1.095817 7.105543 8.279964
46 1 3 0.08573370 1.095817 18.666257 8.279964
47 1 3 0.08573370 1.095817 7.105543 17.491836
48 1 3 0.08573370 4.634543 7.095234 14.038415
49 1 3 0.08573370 4.605936 7.105543 11.790083
50 1 3 0.08573370 8.279964 5.780357 11.790083
51 1 3 0.08573370 8.279964 19.991443 11.790083
52 1 3 0.08573370 8.279964 19.991443 13.981717
53 1 3 0.08573370 4.605936 18.666257 13.981717
54 1 3 0.08573370 11.790083 5.780357 17.491836
55 1 3 0.08573370 11.790083 7.105543 21.165864
56 1 3 0.08573370 13.981717 7.105543 21.165864
57 1 3 0.08573370 11.790083 19.991443 17.491836
58 1 3 0.08573370 13.981717 19.991443 17.491836
59 1 3 0.08573370 11.790083 18.666257 21.165864
60 1 3 0.08573370 21.165864 19.991443 24.675983
61 1 3 0.08573370 17.491836 7.105543 24.675983
62 1 3 0.08573370 8.279964 18.666257 24.675983
63 1 3 0.08573370 1.095817 18.666257 17.491836
64 1 3 0.08573370 4.605936 5.780357 24.675983
65 1 3 0.08573370 24.675983 5.780357 21.165864
66 1 3 0.08573370 24.675983 18.666257 17.491836
67 1 3 0.08573370 21.165864 18.666257 11.790083
68 1 3 0.08573370 17.491836 19.991443 11.790083
69 1 3 0.08573370 17.491836 19.991443 13.981717
70 1 3 0.08573370 21.165864 7.105543 13.981717
71 1 3 0.08573370 21.137257 7.095234 11.733385
72 1 3 0.08573370 17.491836 5.780357 13.981717
73 1 3 0.08573370 5.790666 11.733385 17.520443
74 1 3 0.08573370 5.780357 13.981717 17.491836
75 1 3 0.08573370 7.105543 11.790083 21.165864
76 1 3 0.08573370 19.991443 11.790083 17.491836
77 1 3 0.08573370 18.666257 11.790083 21.165864
78 1 3 0.08573370 18.666257 13.981717 21.165864
79 1 3 0.08573370 19.991443 13.981717 8.279964
80 1 3 0.08573370 19.981134 11.733385 8.251357
81 1 3 0.08573370 18.666257 13.981717 4.605936
82 1 3 0.08573370 5.790666 14.038415 8.251357
83 1 3 0.08573370 7.105543 13.981717 4.605936
84 1 3 0.08573370 7.105543 11.790083 4.605936
85 1 3 0.08573370 7.105543 1.095817 8.279964
86 1 3 0.08573370 18.666257 1.095817 8.279964
87 1 3 0.08573370 7.105543 1.095817 17.491836
88 1 3 0.08573370 19.991443 1.095817 21.165864
89 1 3 0.08573370 7.105543 24.675983 17.491836
90 1 3 0.08573370 18.666257 24.675983 17.491836
91 1 3 0.08573370 18.666257 24.675983 8.279964
92 1 3 0.08573370 5.780357 24.675983 4.605936
93 1 3 0.08573370 1.095817 19.991443 4.605936
94 1 3 0.08573370 1.095817 5.780357 4.605936
95 1 3 0.08573370 1.095817 5.780357 21.165864
96 1 3 0.08573370 5.780357 1.095817 4.605936
97 1 3 0.08573370 19.991443 1.095817 4.605936
98 1 3 0.08573370 5.780357 24.675983 21.165864
99 1 3 0.08573370 19.991443 24.675983 21.165864
100 1 3 0.08573370 1.095817 19.991443 21.165864
101 1 3 0.08573370 8.279964 18.666257 1.095817
102 1 3 0.08573370 17.491836 18.666257 24.675983
103 1 3 0.08573370 8.279964 7.105543 24.675983
104 1 3 0.08573370 21.165864 5.780357 24.675983
105 1 4 0.36295600 6.442950 6.442950 2.849846
106 1 5 -0.08803220 6.442950 6.442950 1.416418
107 1 6 0.01718370 5.408470 6.069774 0.677541
108 1 4 0.36295600 19.328850 19.328850 2.849846
109 1 5 -0.08803220 19.328850 19.328850 1.416418
110 1 6 0.01718370 20.363330 19.702026 0.677541
111 1 4 0.36295600 19.328850 6.442950 22.921954
112 1 5 -0.08803220 19.328850 6.442950 24.355382
113 1 6 0.01718370 20.363330 6.069774 25.094259
114 1 4 0.36295600 6.442950 19.328850 22.921954
115 1 5 -0.08803220 6.442950 19.328850 24.355382
116 1 6 0.01718370 5.408470 19.702026 25.094259
